Country,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Voter turnout,Water quality,Years in education,Air pollution_norm,Dwellings without basic facilities_norm,Educational attainment_norm,Employees working very long hours_norm,Employment rate_norm,Feeling safe walking alone at night_norm,Homicide rate_norm,Household net adjusted disposable income_norm,Household net wealth_norm,Housing expenditure_norm,Labour market insecurity_norm,Life expectancy_norm,Life satisfaction_norm,Long-term unemployment rate_norm,Personal earnings_norm,Quality of support network_norm,Rooms per person_norm,Self-reported health_norm,Stakeholder engagement for developing regulations_norm,Student skills_norm,Voter turnout_norm,Water quality_norm,Years in education_norm,Housing,Income,Jobs,Community,Education,Environment,Civic engagement,Health,Life satisfaction_ov,Safety,Work-life balance,Total_Score
Netherlands,12.2,0.1,81,0.3,78,83,0.6,34984,248599,19.6,2.5,82.2,7.5,0.9,58828,94,2,75,2.6,502,79,91,19,0.71,1,0.74,0.99,0.95,0.81,0.98,0.61,0.21,0.61,0.96,0.89,0.87,0.95,0.83,0.81,0.64,0.75,0.7,0.81,0.72,0.81,0.83,0.81,0.44,0.95,0.81,0.82,0.76,0.8,0.8,0.87,0.9,0.99,8.95
New Zealand,6,1,81,14,77,66,1.3,39024,514162,25,4.5,82.1,7.3,0.4,45269,95,2.4,86,2.5,503,82,85,18,0.98,0.97,0.74,0.48,0.93,0.49,0.96,0.71,0.51,0.19,0.9,0.89,0.8,0.98,0.62,0.86,0.88,0.95,0.65,0.82,0.79,0.64,0.67,0.7,0.66,0.88,0.86,0.76,0.82,0.81,0.96,0.8,0.73,0.48,8.46
Norway,6.7,0,82,1.4,75,93,0.6,39144,268358,17.7,2.8,83,7.3,0.9,55780,96,2.1,75,2.2,497,78,98,18,0.95,1,0.75,0.95,0.88,1,0.98,0.71,0.23,0.76,0.95,0.93,0.8,0.95,0.78,0.9,0.7,0.75,0.5,0.77,0.7,1,0.67,0.93,0.51,0.92,0.9,0.74,0.99,0.67,0.84,0.8,1,0.95,9.25
Poland,22.8,2.3,93,4.2,69,71,0.5,23675,233221,21.2,5,78,6.1,0.6,32527,94,1.1,60,2.6,513,68,82,18,0.25,0.94,0.96,0.85,0.73,0.58,0.99,0.34,0.19,0.49,0.88,0.68,0.4,0.97,0.42,0.81,0.1,0.47,0.7,0.9,0.49,0.56,0.67,0.43,0.29,0.77,0.81,0.88,0.39,0.66,0.42,0.4,0.79,0.85,6.69
Portugal,8.3,0.9,55,5.6,69,83,0.7,24877,255303,19.6,8.1,81.8,5.8,2.3,28410,87,1.7,50,1.5,492,49,89,17,0.88,0.97,0.25,0.8,0.73,0.81,0.98,0.37,0.22,0.61,0.79,0.87,0.3,0.87,0.35,0.48,0.46,0.29,0.15,0.73,0.09,0.75,0.5,0.7,0.32,0.71,0.48,0.46,0.82,0.09,0.43,0.3,0.9,0.8,6.01
Russia,11.8,13.8,95,0.1,70,64,4.8,19546,121349.75,17.4,3.92,73.2,5.5,1.1,23073.67,89,1,43,2.22,481,68,62,16,0.73,0.62,1,1,0.76,0.45,0.83,0.24,0.07,0.79,0.92,0.45,0.2,0.94,0.27,0.57,0.04,0.16,0.51,0.64,0.49,0,0.33,0.39,0.17,0.74,0.57,0.66,0.35,0.55,0,0.2,0.64,1,5.27
Slovak Republic,18.5,1.5,92,4.2,68,76,0.8,21149,171425,27.4,8.8,77.8,6.5,3,23619,95,1.1,65,3,469,66,81,16,0.43,0.96,0.94,0.85,0.71,0.68,0.98,0.28,0.12,0,0.77,0.67,0.53,0.83,0.27,0.86,0.1,0.56,0.9,0.55,0.45,0.53,0.33,0.18,0.22,0.66,0.86,0.6,0.47,0.76,0.48,0.53,0.84,0.85,6.45
Slovenia,17,0.2,90,5.6,71,91,0.4,25250,233286,18.2,5.9,81.6,6.5,1.9,41445,95,1.6,67,2.5,504,53,93,18,0.5,0.99,0.91,0.8,0.78,0.96,0.99,0.38,0.19,0.72,0.86,0.86,0.53,0.89,0.56,0.86,0.4,0.6,0.65,0.83,0.17,0.86,0.67,0.74,0.31,0.8,0.86,0.83,0.68,0.44,0.66,0.53,0.98,0.8,7.63
South Africa,28.5,35.9,48,15.4,39,40,13.7,9338,62731.79,18.1,35.4,64.2,4.9,17.9,6347.35,89,0.94,69.2,1.92,403.29,66,72,16.2,0,0,0.11,0.43,0,0,0.49,0,0,0.73,0,0,0,0,0,0.57,0,0.64,0.36,0.03,0.45,0.28,0.37,0,0,0,0.57,0.08,0.12,0.43,0.02,0,0.23,0.43,1.88
Spain,10,0.3,63,2.5,62,80,0.7,27155,366534,21.7,15.8,83.9,6.5,5,37922,93,1.9,75,1.8,477.48,72,76,18,0.8,0.99,0.4,0.91,0.56,0.75,0.98,0.43,0.35,0.45,0.57,0.98,0.53,0.72,0.5,0.76,0.58,0.75,0.3,0.61,0.57,0.39,0.67,0.69,0.42,0.61,0.76,0.54,0.59,0.47,0.87,0.53,0.87,0.91,7.26
Sweden,5.8,0,84,0.9,75,79,1.1,33730,374291.82,20.1,4.4,83.2,7.3,1,47020,94,1.7,76,2,503,87,97,20,0.99,1,0.79,0.97,0.88,0.74,0.97,0.58,0.35,0.57,0.9,0.94,0.8,0.94,0.65,0.81,0.46,0.76,0.4,0.82,0.89,0.97,1,0.7,0.5,0.87,0.81,0.91,0.99,0.72,0.85,0.8,0.86,0.97,8.98
Switzerland,10.1,0,89,0.4,80,86,0.3,39697,476152.14,21.4,5.05,84,7.5,1.7,64824,94,1.9,81,2.3,498,45,96,17,0.8,1,0.89,0.99,1,0.87,1,0.73,0.47,0.47,0.88,0.98,0.87,0.91,0.93,0.81,0.58,0.85,0.55,0.78,0,0.94,0.5,0.71,0.65,0.96,0.81,0.74,0.88,0.28,0.95,0.87,0.94,0.99,8.78
Turkey,27.1,4.9,42,25,48,59,1,10844.89,62731.79,18.9,13,78.6,4.9,3.3,8511.53,85,1,67,1.5,462,86,62,19,0.06,0.86,0,0.07,0.22,0.36,0.97,0.04,0,0.67,0.65,0.71,0,0.82,0.03,0.38,0.04,0.6,0.15,0.49,0.87,0,0.83,0.45,0.02,0.44,0.38,0.4,0,0.56,0.55,0,0.66,0.07,3.53
United Kingdom,10.1,0.5,82,10.8,75,78,0.2,33049,524422,23.2,3.3,81.3,6.8,0.9,47147,93,2,73,3.1,503,68,82,17,0.8,0.99,0.75,0.6,0.88,0.72,1,0.57,0.53,0.33,0.93,0.85,0.63,0.95,0.65,0.76,0.64,0.71,0.95,0.82,0.49,0.56,0.5,0.66,0.59,0.88,0.76,0.7,0.68,0.81,0.74,0.63,0.87,0.6,7.92
United States,7.7,0.1,92,10.4,67,78,6,51147,684500,18.3,4.2,78.9,7,0.5,69392,94,2.4,88,3.1,495,65,88,17,0.9,1,0.94,0.62,0.68,0.72,0.78,1,0.71,0.72,0.91,0.73,0.7,0.97,1,0.81,0.88,0.98,0.95,0.75,0.43,0.72,0.5,1,0.92,0.92,0.81,0.74,0.82,0.78,0.86,0.7,0.75,0.62,8.92
